# Body text and see_also omitted. Full content in json/glossary.json
id,name,category,subcategory,era,also_known_as,short,source,ruler_id,image_url,wikipedia_en,wikipedia_he
first-crusade,First Crusade,crusades,,1095–1099,,The expedition called by Pope Urban II at Clermont in 1095 that took Antioch and Jerusalem and founded the Crusader states.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Peter_the_Hermit.jpg/960px-Peter_the_Hermit.jpg,https://en.wikipedia.org/wiki/First_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%A8%D7%90%D7%A9%D7%95%D7%9F
crusade-of-1101,Crusade of 1101,crusades,,1101,Crusade of the Faint-Hearted,"A wave of armed pilgrim reinforcements sent after the First Crusade, remembered mostly for disastrous defeats in Anatolia before most of its armies ever reached the Holy Land.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Crusade_of_1101_v1.svg/960px-Crusade_of_1101_v1.svg.png,https://en.wikipedia.org/wiki/Crusade_of_1101,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%A9%D7%9C_1101
norwegian-crusade,Norwegian Crusade,crusades,,1107–1110,Sigurd Jorsalfar's Crusade,"The naval expedition of King Sigurd I of Norway, the first European king to personally reach the Holy Land on crusade.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Sigurd_Entering_Constantinople.png/960px-Sigurd_Entering_Constantinople.png,https://en.wikipedia.org/wiki/Norwegian_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%A0%D7%95%D7%A8%D7%95%D7%95%D7%92%D7%99
venetian-crusade,Venetian Crusade,crusades,,1122–1124,Venetian expedition to Tyre,"A Venetian naval crusade whose decisive achievement was the capture of Tyre, completing Frankish control of the southern Levantine coast.",authored,,https://upload.wikimedia.org/wikipedia/commons/4/43/Tyre_being_blockaded_by_the_Venetian_fleet_and_besieged_by_Crusader_knighthood.PNG,https://en.wikipedia.org/wiki/Venetian_Crusade,
crusade-of-1129,Crusade of 1129,crusades,,1129,Damascus Crusade,"Baldwin II's western-supported campaign against Damascus, conceived as a major offensive but ruined by weather, supply problems, and poor coordination.",authored,,https://upload.wikimedia.org/wikipedia/commons/5/51/Coin_Baldwin2.jpg,https://en.wikipedia.org/wiki/Crusade_of_1129,
second-crusade,Second Crusade,crusades,,1147–1149,,"The crusade called after the fall of Edessa, ending in the failed siege of Damascus and a severe blow to Frankish credibility in the east.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/BattleOfInab.jpg/960px-BattleOfInab.jpg,https://en.wikipedia.org/wiki/Second_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%A9%D7%A0%D7%99
fourth-crusade,Fourth Crusade,crusades,,1202–1204,,"A crusade proclaimed for Jerusalem by way of Egypt, but diverted to Constantinople, where it shattered Byzantine power instead of reaching the Holy Land.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/ConquestOfConstantinopleByTheCrusadersIn1204.jpg/960px-ConquestOfConstantinopleByTheCrusadersIn1204.jpg,https://en.wikipedia.org/wiki/Fourth_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%A8%D7%91%D7%99%D7%A2%D7%99
crusade-of-1197,Crusade of 1197,crusades,,1197–1198,German Crusade; Crusade of Henry VI,"The German expedition launched after the Third Crusade, cut short by Emperor Henry VI's death but still responsible for major gains on the Levantine coast.",authored,,https://upload.wikimedia.org/wikipedia/commons/e/e6/JindrichVIStauf_trun.jpg,https://en.wikipedia.org/wiki/Crusade_of_1197,
fifth-crusade,Fifth Crusade,crusades,,1217–1221,Damietta Crusade,"The Egypt-first crusade that captured Damietta but failed at al-Mansurah, throwing away two chances to recover Jerusalem by negotiation.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Capturing_Damiate.jpg/960px-Capturing_Damiate.jpg,https://en.wikipedia.org/wiki/Fifth_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%97%D7%9E%D7%99%D7%A9%D7%99
sixth-crusade,Sixth Crusade,crusades,,1228–1229,Crusade of Frederick II,"Frederick II's excommunicated and mostly diplomatic crusade, which restored Jerusalem to Latin Christian control without a major battle.",authored,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Al-Kamil_Muhammad_al-Malik_and_Frederick_II_Holy_Roman_Emperor.jpg,https://en.wikipedia.org/wiki/Sixth_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%A9%D7%99%D7%A9%D7%99
barons-crusade,Barons' Crusade,crusades,,1239–1241,Crusade of 1239,A baron-led expedition that failed militarily at Gaza but won major territorial concessions through diplomacy during Ayyubid civil conflict.,authored,,https://upload.wikimedia.org/wikipedia/commons/6/64/Map_Crusader_states_1240-eng.png,https://en.wikipedia.org/wiki/Barons%27_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%A9%D7%9C_%D7%94%D7%91%D7%A8%D7%95%D7%A0%D7%99%D7%9D
seventh-crusade,Seventh Crusade,crusades,,1248–1254,First Crusade of Louis IX,"Louis IX's Egypt campaign after the loss of Jerusalem in 1244, ending in defeat and royal captivity but followed by years of rebuilding work in Acre and the coastal kingdom.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Seventh_crusade.jpg/960px-Seventh_crusade.jpg,https://en.wikipedia.org/wiki/Seventh_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%A9%D7%91%D7%99%D7%A2%D7%99
eighth-crusade,Eighth Crusade,crusades,,1270,Crusade of Louis IX against Tunis,"Louis IX's second crusade, aimed at Tunis rather than the Levant and ended by the king's death from disease before it could affect the Holy Land.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/SmrtLudvika91270.jpg/960px-SmrtLudvika91270.jpg,https://en.wikipedia.org/wiki/Eighth_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%A9%D7%9E%D7%99%D7%A0%D7%99
lord-edwards-crusade,Lord Edward's Crusade,crusades,,1271–1272,Ninth Crusade,"Edward of England's small expedition to Acre, often treated as the Ninth Crusade and the last crusade to reach the Holy Land.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Ninth_Crusade-en.svg/960px-Ninth_Crusade-en.svg.png,https://en.wikipedia.org/wiki/Lord_Edward%27s_crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%AA%D7%A9%D7%99%D7%A2%D7%99
third-crusade,Third Crusade,crusades,,1189–1192,The Kings' Crusade,"The great expedition of Frederick Barbarossa, Philip II of France, and Richard the Lionheart that recovered Acre and most of the coast but not Jerusalem.",authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/The_Third_Crusade_%281189-1192%29.png/960px-The_Third_Crusade_%281189-1192%29.png,https://en.wikipedia.org/wiki/Third_Crusade,https://he.wikipedia.org/wiki/%D7%9E%D7%A1%D7%A2_%D7%94%D7%A6%D7%9C%D7%91_%D7%94%D7%A9%D7%9C%D7%99%D7%A9%D7%99
william-of-tyre,William of Tyre,people,chroniclers,c. 1130 – c. 1186,Guillaume de Tyr,"Archbishop of Tyre, royal tutor to Baldwin IV, and the central narrative chronicler of the kingdom; his Historia is the indispensable source for the 12th-century Latin East.",authored,,https://upload.wikimedia.org/wikipedia/commons/0/05/William_of_tyre.jpg,https://en.wikipedia.org/wiki/William_of_Tyre,https://he.wikipedia.org/wiki/%D7%95%D7%99%D7%9C%D7%99%D7%90%D7%9D_%D7%9E%D7%A6%D7%95%D7%A8
fulcher-of-chartres,Fulcher of Chartres,people,chroniclers,c. 1059 – c. 1127,Fulcherius Carnotensis,First-Crusade chaplain and chronicler whose Historia Hierosolymitana covers the foundation generation of the kingdom from an eyewitness perspective.,authored,,https://upload.wikimedia.org/wikipedia/commons/3/33/1099_Siege_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Fulcher_of_Chartres,
usama-ibn-munqidh,Usama ibn Munqidh,people,chroniclers,1095–1188,Osama ibn Munqidh,"Syrian emir, courtier, poet, and author of the Kitab al-I'tibar — a memoir whose anecdotes give a rare Muslim eyewitness view of life among the Franks.",authored,,https://upload.wikimedia.org/wikipedia/commons/5/53/Usamah_ibn_Munqidh.png,https://en.wikipedia.org/wiki/Usama_ibn_Munqidh,
albert-of-aachen,Albert of Aachen,people,chroniclers,fl. c. 1100 – c. 1158,Albertus Aquensis; Albert of Aix,"German cleric of Aachen whose Historia Ierosolimitana, compiled from the testimony of returning pilgrims, preserves the fullest surviving account of the People's Crusade and the eastern campaign of 1097–99.",authored,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Passages_d%27outremer_Fr5594%2C_fol._19r%2C_Concile_de_Clermont.jpg,https://en.wikipedia.org/wiki/Albert_of_Aachen,https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%91%D7%A8%D7%98_%D7%9E%D7%90%D7%90%D7%9B%D7%9F
raymond-of-aguilers,Raymond of Aguilers,people,chroniclers,fl. 1090s – c. 1105,Raimundus de Aguilers; Raimond d'Aguilers,Provençal chaplain to Raymond IV of Toulouse and the principal eyewitness for the southern French contingent on the First Crusade — chiefly remembered as the believer-in-chief of the Holy Lance found at Antioch.,authored,,https://upload.wikimedia.org/wikipedia/commons/7/7e/Holy_Lance_Antioch.jpg,https://en.wikipedia.org/wiki/Raymond_of_Aguilers,
anna-komnene,Anna Komnene,people,chroniclers,1083 – 1153,Anna Comnena; Anna Komnena,"Byzantine princess and historian whose Alexiad — the biography of her father, Emperor Alexios I — gives the only sustained narrative of the First Crusade's passage through Constantinople from a Greek point of view.",authored,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Anna_Komnene.jpg,https://en.wikipedia.org/wiki/Anna_Komnene,https://he.wikipedia.org/wiki/%D7%90%D7%A0%D7%94_%D7%A7%D7%95%D7%9E%D7%A0%D7%A0%D7%94
ibn-al-qalanisi,Ibn al-Qalanisi,people,chroniclers,c. 1071 – 1160,Abu Ya'la Hamza ibn al-Asad ibn al-Qalanisi,"Damascene chancery secretary and twice mayor of his city, whose Continuation of the Chronicle of Damascus is the principal Muslim contemporary source for the First and Second Crusades.",authored,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Umayyad_Mosque%2C_Damascus.jpg,https://en.wikipedia.org/wiki/Ibn_al-Qalanisi,
ibn-al-athir,Ibn al-Athir,people,chroniclers,1160 – 1233,Izz ad-Din Abu al-Hasan Ali ibn Muhammad al-Jazari,"Mosul-born universal historian whose al-Kamil fi'l-Tarikh is the standard Sunni history of the central Middle Ages and the principal Muslim narrative of Hattin, the Third Crusade, and the early Ayyubid years.",authored,,https://upload.wikimedia.org/wikipedia/commons/7/76/Battle_of_Cresson.jpg,https://en.wikipedia.org/wiki/Ali_ibn_al-Athir,
imad-ad-din-al-isfahani,Imad ad-Din al-Isfahani,people,chroniclers,1125 – 1201,Muhammad ibn Muhammad ibn Hamid al-Katib; 'Imad al-Din al-Katib,Saladin's Persian-born chancery secretary and panegyrist; his al-Fath al-Qussi fi'l-Fath al-Qudsi is the closest surviving inside account of the 1187 campaign and the recovery of Jerusalem.,authored,,https://upload.wikimedia.org/wikipedia/commons/a/aa/%27Imad_al-Din_Muhammad_bin_Muhammad_bin_Hamid_al-Katib_al-Isfahani_%28d.1201%29%3B_Tarikh_al-Barq_al-Bana%2C_Mamluk_Syria%2C_15th_century.jpg,https://en.wikipedia.org/wiki/Imad_ad-Din_al-Isfahani,
baha-ad-din-ibn-shaddad,Baha ad-Din ibn Shaddad,people,chroniclers,1145 – 1234,Baha al-Din Yusuf ibn Rafi ibn Shaddad; Bohadinus,"Saladin's intimate companion, qadi of his army from 1188, and author of the Sirat Salah ad-Din — the eyewitness biography written by the man who slept in the sultan's tent through the Third Crusade.",authored,,https://upload.wikimedia.org/wikipedia/commons/5/5a/BOHADINUS%2C_Yusuf_ibn_Raffi_ibn_Shaddad%2C_known_as_%281145-1234%29._Vita_et_res_gestae_Sultani%2C_almalichi_alnasiri%2C_Saladini._Edited_and_translated_by_Albert_Schultens._Leiden%3B_Samuel_Luchtmans%2C_1732.jpg,https://en.wikipedia.org/wiki/Baha_al-Din_ibn_Shaddad,
ernoul,Ernoul,people,chroniclers,fl. 1180s,Ernoul of Ibelin,"Squire to Balian of Ibelin and the eyewitness Frankish voice for the Hattin year — his Old French chronicle, surviving inside the later Chronique d'Ernoul et de Bernard le Trésorier, is the partisan but indispensable counterweight to the Latin sources for 1187.",authored,,https://upload.wikimedia.org/wikipedia/commons/c/c6/BalianofIbelin1490.jpg,https://en.wikipedia.org/wiki/Ernoul,
jacques-de-vitry,Jacques de Vitry,people,chroniclers,c. 1160/70 – 1240,James of Vitry; Jacobus de Vitriaco,"Bishop of Acre during the Fifth Crusade, later cardinal, and author of the Historia Orientalis — the most ambitious and most quoted thirteenth-century western description of the Latin East.",authored,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Seal_of_James_of_Vitry.jpg,https://en.wikipedia.org/wiki/Jacques_de_Vitry,
templar-of-tyre,Templar of Tyre,people,chroniclers,fl. c. 1255 – c. 1320,Templier de Tyr; the Anonymous of Tyre,Anonymous Frankish secretary in Acre and Cyprus whose chronicle of the years 1243–1314 forms the third part of the Gestes des Chiprois — the eyewitness Frankish source for the fall of Acre in 1291 and the dissolution of the Templars.,authored,,https://upload.wikimedia.org/wikipedia/commons/1/1b/SiegeOfAcre1291.jpg,https://en.wikipedia.org/wiki/Templar_of_Tyre,
saewulf,Sæwulf,people,travellers-christian,fl. 1102 – 1103,Saewulf; Sewulf,Anglo-Saxon Christian pilgrim — possibly an English merchant turned monk — whose Latin account of his pilgrimage to Jerusalem in 1102–03 is the earliest western traveller's description of the Latin kingdom in its founding years.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Uppsala_map_of_Jerusalem.jpg/1280px-Uppsala_map_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Saewulf,
daniel-the-traveller,Daniel the Traveller,people,travellers-christian,fl. 1106 – 1108,Daniel of Kiev; Daniel the Pilgrim; Igumen Daniel,Russian Orthodox abbot of Chernigov whose long Hozhdenie ('Journey') is the earliest surviving travel narrative in Old East Slavic and the most detailed early-twelfth-century pilgrimage account of the Holy Land.,authored,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Saint_Andrew_of_Smolensk_%28center%29%2C_Daniel_the_Pilgrim_%28right%29_and_the_venerable_Nicetas_of_Medikion_%28left%29.jpg/960px-Saint_Andrew_of_Smolensk_%28center%29%2C_Daniel_the_Pilgrim_%28right%29_and_the_venerable_Nicetas_of_Medikion_%28left%29.jpg,https://en.wikipedia.org/wiki/Daniel_the_Traveller,
rorgo-fretellus,Rorgo Fretellus,people,travellers-christian,fl. c. 1119 – 1154,Fretellus; Rorgo of Nazareth,"Frankish-born canon of the Holy Sepulchre and later archdeacon of Nazareth and chancellor of Antioch, whose Liber locorum sanctorum was the most widely copied Latin pilgrim handbook of the kingdom's first century.",authored,,https://upload.wikimedia.org/wikipedia/en/9/95/Rorgo_Fretellus%2C_start.png,https://en.wikipedia.org/wiki/Rorgo_Fretellus,
john-of-wurzburg,John of Würzburg,people,travellers-christian,fl. c. 1160 – 1170,Johannes Wirziburgensis,"German priest from Würzburg whose Latin Descriptio Terrae Sanctae records what he saw in Jerusalem under King Amalric I, with a famously chauvinist insistence on the German contribution to the kingdom's history.",authored,,https://upload.wikimedia.org/wikipedia/commons/a/ac/John_of_W%C3%BCrzburg.PNG,https://en.wikipedia.org/wiki/John_of_W%C3%BCrzburg,
john-phokas,John Phokas,people,travellers-christian,fl. c. 1185,Ioannes Phokas; John Phocas,"Byzantine Greek pilgrim — formerly a soldier in the campaigns of Manuel I Komnenos, later a monk on Patmos — whose Ekphrasis is the principal twelfth-century Greek description of the Latin kingdom on the eve of Hattin.",authored,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Madaba_map.jpg,https://en.wikipedia.org/wiki/John_Phokas,
theoderich,Theoderich,people,travellers-christian,fl. c. 1169 – 1174,Theodericus; Theoderic the Pilgrim,"German Christian pilgrim, probably a Bavarian monk, whose Libellus de Locis Sanctis is the most architecturally detailed surviving description of Jerusalem under the Latin kingdom.",authored,,,https://en.wikipedia.org/wiki/Theoderich_(pilgrim),
wilbrand-of-oldenburg,Wilbrand of Oldenburg,people,travellers-christian,c. 1180 – 1233,Wilbrandus de Oldenburg,"German nobleman, future bishop of Paderborn and Utrecht, whose Itinerarium Terrae Sanctae of 1211–12 is a sober, well-informed account of the Latin East a generation before the Fifth Crusade.",authored,,https://upload.wikimedia.org/wikipedia/commons/0/0b/SA_5043-Anno_1227._De_graaf_van_Gelre_en_de_heer_van_Amstel_in_het_Domkapittel_van_Utrecht.jpg,https://en.wikipedia.org/wiki/Wilbrand_of_Oldenburg,
thietmar,Thietmar,people,travellers-christian,fl. 1217 – 1218,Magister Thietmarus; Thietmar the Pilgrim,German pilgrim of unknown background whose Peregrinatio of 1217 is one of the few western accounts of an unauthorised journey through Ayyubid territory in the years just before the Fifth Crusade.,authored,,https://upload.wikimedia.org/wikipedia/en/3/3c/Herzog_August_Bibliothek_Wolfenb%C3%BCttel%2C_Cod._Guelf._42.3_Aug._2%C2%B0%2C_folio_187r.jpg,https://en.wikipedia.org/wiki/Thietmar_(pilgrim),
burchard-of-mount-sion,Burchard of Mount Sion,people,travellers-christian,fl. c. 1274 – 1284,Burchardus de Monte Sion,"German Dominican friar whose Descriptio Terrae Sanctae, written from a base in the Mount Sion convent in Jerusalem in the 1270s, was the standard medieval guide to the Holy Land for the next two centuries.",authored,,https://upload.wikimedia.org/wikipedia/commons/9/96/1283_Descriptio_Terrae_Sanctae.jpg,https://en.wikipedia.org/wiki/Burchard_of_Mount_Sion,
riccoldo-da-monte-di-croce,Riccoldo da Monte di Croce,people,travellers-christian,c. 1243 – 1320,Riccoldo Pennini; Ricoldo of Montecroce,"Florentine Dominican missionary and traveller whose Liber Peregrinationis records his long journey through the Holy Land, Mesopotamia, and Mongol-ruled Baghdad in the years on either side of the fall of Acre.",authored,,https://upload.wikimedia.org/wikipedia/commons/e/e6/Ricoldo_de_montecroce_%26_nicolas_IV.jpg,https://en.wikipedia.org/wiki/Riccoldo_da_Monte_di_Croce,
benjamin-of-tudela,Benjamin of Tudela,people,travellers-jewish,c. 1130 – 1173,Binyamin mi-Tudela; Benjamin ben Jonah,"Navarrese Jewish merchant whose Sefer ha-Massa'ot ('Book of Travels') of c. 1165–73 is the most ambitious medieval Hebrew geography of the Mediterranean, the Latin East, and the Jewish communities of every place between Tudela and Baghdad.",authored,,https://upload.wikimedia.org/wikipedia/commons/d/d8/Benjam%C3%ADn_de_Tudela_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Benjamin_of_Tudela,https://he.wikipedia.org/wiki/%D7%91%D7%A0%D7%99%D7%9E%D7%99%D7%9F_%D7%9E%D7%98%D7%95%D7%93%D7%9C%D7%94
petachiah-of-regensburg,Petachiah of Regensburg,people,travellers-jewish,fl. c. 1170 – 1187,Petachiah ben Yaakov; Petahyah ha-Lavan,"Bavarian rabbi whose Sibbuv ('Circuit') describes a long Ashkenazi Jewish journey through Eastern Europe, Armenia, Mesopotamia, and the Holy Land in the years just before Hattin.",authored,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Petachiah.png,https://en.wikipedia.org/wiki/Petachiah_of_Regensburg,https://he.wikipedia.org/wiki/%D7%A4%D7%AA%D7%97%D7%99%D7%94_%D7%9E%D7%A8%D7%92%D7%A0%D7%A1%D7%91%D7%95%D7%A8%D7%92
samuel-ben-samson,Samuel ben Samson,people,travellers-jewish,fl. 1210,Shmuel ben Shimshon,French rabbi who accompanied a delegation of three hundred Provençal and English Jewish scholars to the Holy Land in 1210–11 and recorded their visits to the tombs of biblical and rabbinic figures across Galilee.,authored,,https://upload.wikimedia.org/wikipedia/commons/1/18/%D7%A8%D7%91%D7%99_%D7%A9%D7%9E%D7%95%D7%90%D7%9C_%D7%91%D7%A8_%D7%A9%D7%9E%D7%A9%D7%95%D7%9F_%D7%9E%D7%A9%D7%AA%D7%98%D7%97_%D7%A2%D7%9C_%D7%A7%D7%91%D7%A8_%D7%A6%D7%A4%D7%A0%D7%99%D7%94_%D7%94%D7%A0%D7%91%D7%99%D7%90.png,https://en.wikipedia.org/wiki/Samuel_ben_Samson,
menachem-ben-peretz-of-hebron,Menachem ben Peretz of Hebron,people,travellers-jewish,fl. c. 1215,Menachem ben Peretz the Hebronite,Otherwise unknown thirteenth-century Jewish pilgrim from Hebron whose short Hebrew itinerary names the holy graves of the Galilee in some of the same terms used by his contemporaries Samuel ben Samson and Yehuda Alharizi.,authored,,,,
yehuda-alharizi,Yehuda Alharizi,people,travellers-jewish,1165 – 1225,Judah al-Harizi; Yehuda ben Shlomo Alharizi,"Castilian-born Hebrew poet, translator of Maimonides, and traveller whose rhymed-prose maqamat — the Tahkemoni — preserve a glittering eyewitness portrait of Jewish communities across Provence, Egypt, Syria, the Crusader kingdom, and Iraq in the early thirteenth century.",authored,,https://upload.wikimedia.org/wikipedia/commons/8/85/Sefer_Refu%27_at_ha_Geviyah%2C_Judah_Al_Harizi.jpg,https://en.wikipedia.org/wiki/Yehuda_Alharizi,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%95%D7%93%D7%94_%D7%90%D7%9C%D7%97%D7%A8%D7%99%D7%96%D7%99
nahmanides,Nahmanides,people,travellers-jewish,1194 – 1270,Moses ben Nachman; Ramban; Bonastruc ça Porta,"Catalan rabbi, philosopher, and biblical commentator whose flight to the Holy Land in 1267 — after the Disputation of Barcelona — refounded the Jewish community of Jerusalem in the last years of the kingdom of Acre.",authored,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Nahmanides_painting.jpg,https://en.wikipedia.org/wiki/Nachmanides,https://he.wikipedia.org/wiki/%D7%9E%D7%A9%D7%94_%D7%91%D7%9F_%D7%A0%D7%97%D7%9E%D7%9F
