id,record_type,primary_name,alternative_names,medieval_names,modern_names,site_type,historical_category,title_or_designation,description,historical_significance,modern_location,latitude,longitude,coordinate_accuracy,modern_country,modern_region,crusader_state_or_polity,lordship_or_fief,accessibility,wikipedia_url,wikidata_id,primary_sources,secondary_sources,source_notes,uncertainty_notes,fortified_status,visible_remains,has_harbor,wikipedia_he_url,image_filename,crusaderatlas_url,landing_page_url
site/latrun-toron-des-chevaliers,site,Latrun — Toron des Chevaliers,Toron des Chevaliers/de los Caballeros | Toronum Militum | al-Natrun,,,Major castle / fortress,Fortification,,"Built by the Templars in the mid-twelfth century as 'Toron des Chevaliers', Latrun guarded the main road from the coastal plain to Jerusalem. A large quadrangular castle with a talus, portcullised gate, outer ward and stables, it was lost to Saladin after Hattin in 1187 and only briefly reoccupied during the Third Crusade before passing permanently out of Frankish hands a few years later. The medieval ruins share the hill with a nineteenth-century Trappist monastery.",,"Latrun, Israel",31.831956,34.982357,verified,Israel,,Kingdom of Jerusalem,County of Jaffa and Ascalon,,https://en.wikipedia.org/wiki/Latrun,Q1670976,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 64)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%9C%D7%98%D7%A8%D7%95%D7%9F,Latrun-Castle-S-076.jpg,https://crusaderatlas.com/?site=latrun-toron-des-chevaliers,https://crusaderatlas.com/sites/latrun-toron-des-chevaliers/
site/majdal-yaba-mirabel,site,Majdal Yaba (Mirabel),"Majdal Sadiq | Mirabel, Mirabellum",,,Major castle / fortress,Fortification,,"Mirabel was the castle of the Ibelin family, one of the most influential dynasties of the Crusader kingdom. Built around an early twelfth-century square tower, it grew into a more complex fortification on the edge of the Samarian hills. A Turkish fortress and village later reused much of the medieval fabric; today the site is within Migdal Afek National Park east of Tel Aviv.",,"Migdal Afek, Israel",32.080806,34.957102,verified,Israel,,Kingdom of Jerusalem,Lordship of Arsuf,,https://en.wikipedia.org/wiki/Migdal_Afek,Q568521,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 66)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries (site falls within 2 overlapping polygons; smallest chosen); Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,unknown,,https://he.wikipedia.org/wiki/%D7%9E%D7%92%D7%93%D7%9C_%D7%90%D7%A4%D7%A7,Migdal-Afek-28-yard-e.jpg,https://crusaderatlas.com/?site=majdal-yaba-mirabel,https://crusaderatlas.com/sites/majdal-yaba-mirabel/
site/miilya-castellum-novum-regis,site,Mi'ilya (Castellum Novum Regis),Mhalia | Castrum Regis | Chastiau dou Ret | Castellium Novum | Castellum Novum Regis | Ma'alot,,,Major castle / fortress,Fortification,,"The royal castle of Castellum Novum Regis ('the King's New Castle') was built on a hill above the Galilean village of Mi'ilya around the middle of the twelfth century. It later passed to the Teutonic Knights. Remnants of the hilltop enceinte and corner towers are still visible among the houses of today's village, which has one of the largest Melkite Christian populations in Israel.",,"Mi'ilya, Israel",33.02528,35.25944,verified,Israel,,Kingdom of Jerusalem,Lordship of Montfort,,https://en.wikipedia.org/wiki/Mi%27ilya,Q2917297,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 70)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Fortified status not definitive (recorded as 'probable').,probable,unknown,,https://he.wikipedia.org/wiki/%D7%9E%D7%A2%D7%99%D7%9C%D7%99%D7%90,Miiliya-castle-38.jpg,https://crusaderatlas.com/?site=miilya-castellum-novum-regis,https://crusaderatlas.com/sites/miilya-castellum-novum-regis/
site/montfort-castle,site,Montfort Castle,Qal'at al-Qurain | Qal'at al-Qarn,,,Major castle / fortress,Fortification,,"Montfort — 'the strong mountain' — was the headquarters of the Teutonic Order in the Holy Land from the 1220s. Perched on a narrow spur deep in Upper Galilee, with a D-shaped donjon, great hall, and multi-level vaulted ranges, it was built specifically to house the order's treasury and archives. The Mamluk sultan Baybars besieged and took it in 1271 after tunnelling under its walls. Today its dramatic ruins, reached on foot from Nahal Kziv, are one of the most picturesque Crusader sites in Israel.",,"Montfort Castle, Israel",33.044403,35.226556,verified,Israel,,Kingdom of Jerusalem,Lordship of Montfort,,https://en.wikipedia.org/wiki/Montfort_Castle,Q14201945,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 72)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%9E%D7%95%D7%A0%D7%A4%D7%95%D7%A8_%28%D7%9E%D7%91%D7%A6%D7%A8%29,מבצר_מונפורט_בזריחה.jpg,https://crusaderatlas.com/?site=montfort-castle,https://crusaderatlas.com/sites/montfort-castle/
site/qalat-hunin-chastel-neuf,site,Qal'at Hunin (Chastel Neuf),Castellum Novum | Chastel Neuf | Mezudat Hunin | Horvat Mezudat Hunin,,,Major castle / fortress,Fortification,,"Chastel Neuf ('New Castle') overlooked the upper Jordan from a ridge on the modern Israel-Lebanon border. Repeatedly fought over during the twelfth century, it was destroyed and rebuilt several times before finally being lost in 1266. The conspicuous standing masonry that dominates the Margaliot lookout today is largely Ottoman, but the Crusader moat and earlier walls can still be traced beneath it.",,"Margaliot, Israel",33.220819,35.54435,verified,Israel,,Kingdom of Jerusalem,Lordship of Maron,,https://en.wikipedia.org/wiki/Hunin,Q12406488,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 78)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,partial,,https://he.wikipedia.org/wiki/%D7%9E%D7%A6%D7%95%D7%93%D7%AA_%D7%94%D7%95%D7%A0%D7%99%D7%9F,"Chateau_Neuf_Fortress_in_Upper_Galilee,_Israel.jpg",https://crusaderatlas.com/?site=qalat-hunin-chastel-neuf,https://crusaderatlas.com/sites/qalat-hunin-chastel-neuf/
site/qalat-jiddin-yehiam-fortress,site,Qal'at Jiddin (Yehi'am Fortress),at Jiddin,,,Major castle / fortress,Fortification,,"Yehi'am Fortress in western Galilee grew from a small Crusader castle into a larger Ottoman stronghold, and was reused again by the defenders of Kibbutz Yehi'am during the 1948 war. The surviving twelfth-century inner ward walls are now the centrepiece of an Israeli national park.",,"Yehiam, Israel",32.99444,35.22194,verified,Israel,,Kingdom of Jerusalem,Lordship of Montfort,,https://en.wikipedia.org/wiki/Yehiam,Q2889861,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 73)",coordinate status: verified; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,,definite,unknown,,https://he.wikipedia.org/wiki/%D7%9E%D7%91%D7%A6%D7%A8_%D7%99%D7%97%D7%99%D7%A2%D7%9D,yechiam fortress.jpg,https://crusaderatlas.com/?site=qalat-jiddin-yehiam-fortress,https://crusaderatlas.com/sites/qalat-jiddin-yehiam-fortress/
site/qaqun-caco,site,Qaqun (Caco),Caco | Cacho,,,Major castle / fortress,Fortification,,"Qaqun was a Templar castle on a low mound commanding the Via Maris between Caesarea and Megiddo. Its two-storey tower, some 17 metres across with walls almost 3 metres thick, survived much of the later medieval period; the Mamluks defeated a Mongol raid here in 1271. The tower still stands to about 8 metres in height on a hill east of the modern village of Qaqun.",,"Qaqun, Israel",32.359409,34.995209,verified,Israel,,Kingdom of Jerusalem,Lordship of Caesarea,,https://en.wikipedia.org/wiki/Qaqun,Q2919625,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 82)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%A7%D7%90%D7%A7%D7%95%D7%9F,Kakun fortress.jpg,https://crusaderatlas.com/?site=qaqun-caco,https://crusaderatlas.com/sites/qaqun-caco/
site/safed-castle,site,Safed Castle,Saphet,,,Major castle / fortress,Fortification,,"The Templar castle of Safed, on a steep hill above the old upper-Galilee town of the same name, was one of the largest and most ambitious Crusader fortifications ever built. Reconstructed on a grand scale between 1240 and 1260 by the Templars, it had an oval concentric plan measuring roughly 120 by 280 metres. Baybars captured it in 1266 after a long siege and the surrender terms were infamously broken: the defenders who had been promised safe passage were executed en masse. Only fragments of its walls remain.",,"Safed, Israel",32.96778,35.49528,verified,Israel,,Kingdom of Jerusalem,Principality of Galilee,,https://en.wikipedia.org/wiki/Safed,Q188336,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 88)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%9E%D7%A6%D7%95%D7%93%D7%AA_%D7%A6%D7%A4%D7%AA,Safedcitadel.jpg,https://crusaderatlas.com/?site=safed-castle,https://crusaderatlas.com/sites/safed-castle/
site/st-margarets-castle-mount-carmel,site,St Margaret's Castle (Mount Carmel),S. Margareta cast(ellum) | Cava Templi (castrum) | Mount Carmel,,,Major castle / fortress,Fortification,,"A Templar castle on the headland of Mount Carmel above modern Haifa, dedicated to Saint Margaret. Destroyed in 1821, its foundations now support the Stella Maris lighthouse. The site had been a Frankish outpost as early as the twelfth century, watching the northern approach to the port of Acre.",,"Mount Carmel, Haifa, Israel",32.828338,34.969093,approximate,Israel,,Kingdom of Jerusalem,Lordship of Haifa,,https://en.wikipedia.org/wiki/Stella_Maris_Monastery,Q1606585,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 88)",coordinate status: uncertain; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Location is approximate. Coordinates flagged uncertain in source.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%9E%D7%A0%D7%96%D7%A8%20%D7%A1%D7%98%D7%9C%D7%94%20%D7%9E%D7%90%D7%A8%D7%99%D7%A1,97599_stella_maris_monastery_PikiWiki_Israel.jpg,https://crusaderatlas.com/?site=st-margarets-castle-mount-carmel,https://crusaderatlas.com/sites/st-margarets-castle-mount-carmel/
site/tantura-merle,site,Tantura (Merle),"al-BURJ | Qal'at Tantura, al-Habis | Gith, Git, Tarenta (-), Tharenta (2) | TANTURA | Merle | Dor",,,Major castle / fortress,Fortification,,"The castle of Merle occupied a sea-girt promontory at the southern end of Dor Bay. Defended by the sea on three sides and a deep ditch on the fourth, it was a classic coastal Frankish strongpoint. A corner tower survived until the 1890s, when it finally collapsed. Today the site is within the Dor-HaBonim Beach Nature Reserve.",,"Tantura, Israel",32.61821,34.91742,verified,Israel,,Kingdom of Jerusalem,Lordship of Caesarea,,"https://en.wikipedia.org/wiki/Dor,_Israel",Q2777560,,"D. Pringle, archaeological gazetteer of the Crusader Kingdom of Jerusalem (page reference(s): 34; 98)",coordinate status: changed; lordship_or_fief / crusader_state_or_polity derived by point-in-polygon against approximate lordship boundaries; Evidence summary curated by the Crusader Atlas project from cited scholarship (primarily D. Pringle) and Wikipedia.,Coordinates were revised from the original gazetteer value.,definite,unknown,,https://he.wikipedia.org/wiki/%D7%93%D7%95%D7%A8%20%28%D7%9E%D7%95%D7%A9%D7%91%29,Tantura_Merle.jpg,https://crusaderatlas.com/?site=tantura-merle,https://crusaderatlas.com/sites/tantura-merle/
