# Descriptions truncated to 500 chars. Full text in geojson/sites.geojson
id,internal_key,name,alternate_names,category,territory,modern_location,lordship,lat,lon,coordinate_precision,fortified_status,visible_remains,harbor,description_truncated,image,wikipedia_en,wikipedia_he
latrun-toron-des-chevaliers,Latrun,Latrun — Toron des Chevaliers,Toron des Chevaliers/de los Caballeros; Toronum Militum; al-Natrun,major_castle,Israel,"Latrun, Israel",County of Jaffa and Ascalon,31.8358,34.9849,exact,definite,unknown,false,"Built by the Templars in the mid-twelfth century as 'Toron des Chevaliers', Latrun guarded the main road from the coastal plain to Jerusalem. A large quadrangular castle with a talus, portcullised gate, outer ward and stables, it was lost to Saladin after Hattin in 1187 and only briefly reoccupied during the Third Crusade before passing permanently out of Frankish hands a few years later. The medieval ruins share the hill with a nineteenth-century Trappist monastery.",Latrun-Castle-S-076.jpg,https://en.wikipedia.org/wiki/Latrun,https://he.wikipedia.org/wiki/%D7%9C%D7%98%D7%A8%D7%95%D7%9F
majdal-yaba-mirabel,MAJDAL YABA,Majdal Yaba (Mirabel),"Majdal Sadiq; Mirabel, Mirabellum",major_castle,Israel,"Migdal Afek, Israel",Lordship of Arsuf,32.0808,34.9572,exact,definite,unknown,false,"Mirabel was the castle of the Ibelin family, one of the most influential dynasties of the Crusader kingdom. Built around an early twelfth-century square tower, it grew into a more complex fortification on the edge of the Samarian hills. A Turkish fortress and village later reused much of the medieval fabric; today the site is within Migdal Afek National Park east of Tel Aviv.",Migdal-Afek-28-yard-e.jpg,https://en.wikipedia.org/wiki/Migdal_Afek,https://he.wikipedia.org/wiki/%D7%9E%D7%92%D7%93%D7%9C_%D7%90%D7%A4%D7%A7
miilya-castellum-novum-regis,Mi'iliya,Mi'ilya (Castellum Novum Regis),Mhalia; Castrum Regis; Chastiau dou Ret; Castellium Novum; Castellum Novum Regis; Ma'alot,major_castle,Israel,"Mi'ilya, Israel",Lordship of Montfort,33.0254,35.2596,exact,probable,unknown,false,"The royal castle of Castellum Novum Regis ('the King's New Castle') was built on a hill above the Galilean village of Mi'ilya around the middle of the twelfth century. It later passed to the Teutonic Knights. Remnants of the hilltop enceinte and corner towers are still visible among the houses of today's village, which has one of the largest Melkite Christian populations in Israel.",Miiliya-castle-38.jpg,https://en.wikipedia.org/wiki/Mi%27ilya,https://he.wikipedia.org/wiki/%D7%9E%D7%A2%D7%99%D7%9C%D7%99%D7%90
montfort-castle,MONTFORT CASTLE,Montfort Castle,Qal'at al-Qurain; Qal'at al-Qarn,major_castle,Israel,"Montfort Castle, Israel",Lordship of Montfort,33.0547,35.2358,exact,definite,unknown,false,"Montfort — 'the strong mountain' — was the headquarters of the Teutonic Order in the Holy Land from the 1220s. Perched on a narrow spur deep in Upper Galilee, with a D-shaped donjon, great hall, and multi-level vaulted ranges, it was built specifically to house the order's treasury and archives. The Mamluk sultan Baybars besieged and took it in 1271 after tunnelling under its walls. Today its dramatic ruins, reached on foot from Nahal Kziv, are one of the most picturesque Crusader sites in Israe...",מבצר_מונפורט_בזריחה.jpg,https://en.wikipedia.org/wiki/Montfort_Castle,https://he.wikipedia.org/wiki/%D7%9E%D7%95%D7%A0%D7%A4%D7%95%D7%A8_%28%D7%9E%D7%91%D7%A6%D7%A8%29
qalat-hunin-chastel-neuf,QAL'AT HUNIN,Qal'at Hunin (Chastel Neuf),Castellum Novum; Chastel Neuf; Mezudat Hunin; Horvat Mezudat Hunin,major_castle,Israel,"Margaliot, Israel",Lordship of Maron,33.2133,35.5353,exact,definite,partial,false,"Chastel Neuf ('New Castle') overlooked the upper Jordan from a ridge on the modern Israel-Lebanon border. Repeatedly fought over during the twelfth century, it was destroyed and rebuilt several times before finally being lost in 1266. The conspicuous standing masonry that dominates the Margaliot lookout today is largely Ottoman, but the Crusader moat and earlier walls can still be traced beneath it.","Chateau_Neuf_Fortress_in_Upper_Galilee,_Israel.jpg",https://en.wikipedia.org/wiki/Hunin,https://he.wikipedia.org/wiki/%D7%9E%D7%A6%D7%95%D7%93%D7%AA_%D7%94%D7%95%D7%A0%D7%99%D7%9F
qalat-jiddin-yehiam-fortress,Qal'at Jiddin,Qal'at Jiddin (Yehi'am Fortress),at Jiddin,major_castle,Israel,"Yehiam, Israel",Lordship of Montfort,32.9935,35.2212,exact,definite,unknown,false,"Yehi'am Fortress in western Galilee grew from a small Crusader castle into a larger Ottoman stronghold, and was reused again by the defenders of Kibbutz Yehi'am during the 1948 war. The surviving twelfth-century inner ward walls are now the centrepiece of an Israeli national park.",yechiam fortress.jpg,https://en.wikipedia.org/wiki/Yehiam,https://he.wikipedia.org/wiki/%D7%9E%D7%91%D7%A6%D7%A8_%D7%99%D7%97%D7%99%D7%A2%D7%9D
qaqun-caco,QAQUN,Qaqun (Caco),Caco; Cacho,major_castle,Israel,"Qaqun, Israel",Lordship of Caesarea,32.360003,34.995272,exact,definite,unknown,false,"Qaqun was a Templar castle on a low mound commanding the Via Maris between Caesarea and Megiddo. Its two-storey tower, some 17 metres across with walls almost 3 metres thick, survived much of the later medieval period; the Mamluks defeated a Mongol raid here in 1271. The tower still stands to about 8 metres in height on a hill east of the modern village of Qaqun.",Kakun fortress.jpg,https://en.wikipedia.org/wiki/Qaqun,https://he.wikipedia.org/wiki/%D7%A7%D7%90%D7%A7%D7%95%D7%9F
safed-castle,SAFAD,Safed Castle,Saphet,major_castle,Israel,"Safed, Israel",Principality of Galilee,32.9647,35.496,exact,definite,unknown,false,"The Templar castle of Safed, on a steep hill above the old upper-Galilee town of the same name, was one of the largest and most ambitious Crusader fortifications ever built. Reconstructed on a grand scale between 1240 and 1260 by the Templars, it had an oval concentric plan measuring roughly 120 by 280 metres. Baybars captured it in 1266 after a long siege and the surrender terms were infamously broken: the defenders who had been promised safe passage were executed en masse. Only fragments of it...",Safedcitadel.jpg,https://en.wikipedia.org/wiki/Safed,https://he.wikipedia.org/wiki/%D7%9E%D7%A6%D7%95%D7%93%D7%AA_%D7%A6%D7%A4%D7%AA
st-margarets-castle-mount-carmel,St Margaret's Castle,St Margaret's Castle (Mount Carmel),S. Margareta cast(ellum); Cava Templi (castrum); Mount Carmel,major_castle,Israel,"Mount Carmel, Haifa, Israel",Lordship of Haifa,32.828338,34.969093,exact,definite,unknown,false,"A Templar castle on the headland of Mount Carmel above modern Haifa, dedicated to Saint Margaret. Destroyed in 1821, its foundations now support the Stella Maris lighthouse. The site had been a Frankish outpost as early as the twelfth century, watching the northern approach to the port of Acre.",97599_stella_maris_monastery_PikiWiki_Israel.jpg,https://en.wikipedia.org/wiki/Stella_Maris_Monastery,https://he.wikipedia.org/wiki/%D7%9E%D7%A0%D7%96%D7%A8%20%D7%A1%D7%98%D7%9C%D7%94%20%D7%9E%D7%90%D7%A8%D7%99%D7%A1
tantura-merle,Tantura (al-Burj / Qal'at Tantura),Tantura (Merle),"al-BURJ; Qal'at Tantura, al-Habis; Gith, Git, Tarenta (-), Tharenta (2); TANTURA; Merle; Dor",major_castle,Israel,"Tantura, Israel",Lordship of Caesarea,32.6094,34.917675,exact,definite,unknown,false,"The castle of Merle occupied a sea-girt promontory at the southern end of Dor Bay. Defended by the sea on three sides and a deep ditch on the fourth, it was a classic coastal Frankish strongpoint. A corner tower survived until the 1890s, when it finally collapsed. Today the site is within the Dor-HaBonim Beach Nature Reserve.",Tantura_Merle.jpg,"https://en.wikipedia.org/wiki/Dor,_Israel",https://he.wikipedia.org/wiki/%D7%93%D7%95%D7%A8%20%28%D7%9E%D7%95%D7%A9%D7%91%29
tel-yokneam-caymont,Tall Qaimun,Tel Yokneam (Caymont),Caimun; Caun Mons; Caymont; Mons Cain; al-Qaymun; Tel Yoqne'am,major_castle,Israel,"Tel Yokneam, Israel",Lordship of Caymont,32.6555,35.1072,exact,definite,unknown,false,"Tel Yokne'am guards the entrance to the Jezreel Valley through a narrow pass in the Carmel range. A Crusader castle known as Caymont, with houses, a tower, a donjon, and a church inside a defensive wall, occupied the mound in the twelfth century. It was at Caymont that the rump of the Crusader army regrouped after the disaster at Hattin.",Tel_Yokneam.jpg,https://en.wikipedia.org/wiki/Yokneam,https://he.wikipedia.org/wiki/%D7%AA%D7%9C_%D7%99%D7%A7%D7%A0%D7%A2%D7%9D
tell-es-safi-blanchegarde,Tall as-Safi,Tell es-Safi (Blanchegarde),Blanchegarde; Blanca Guarda; Tall as-Safiya; Tell es-Safi; Tel Tzafit,major_castle,Israel,"Tel Tzafit, Israel",County of Jaffa and Ascalon,31.6989,34.8461,exact,definite,yes,false,"Blanchegarde — 'the white watchtower' — was one of the ring of castles built around Ascalon in the 1140s, this one founded by King Fulk in 1142 on the chalky hilltop that gave it its name. A square quadriburgium with four corner towers, it fell to Saladin after Hattin in 1187. Today Tel Tzafit is best known for large excavations of Bronze and Iron Age Philistine layers, but the Crusader fort is still visible on top of the mound.",Tell_es_Safi.jpg,https://en.wikipedia.org/wiki/Tell_es-Safi,https://he.wikipedia.org/wiki/%D7%AA%D7%9C_%D7%A6%D7%A4%D7%99%D7%AA
yavne-ibelin,YIBNA,Yavne (Ibelin),Ibelin; Ybelin; Gibelim; Yavne,major_castle,Israel,"Yavne, Israel",County of Jaffa and Ascalon,31.8781,34.7389,exact,definite,yes,false,"Yavne — known to the Crusaders as Ibelin — was one of the four castles thrown up around Ascalon in the 1140s and became the seat of the powerful Ibelin family. William of Tyre called the twelfth-century castle 'very strongly built with deep foundations and four towers'. The original quadriburgium is mostly gone, but its hilltop in the centre of modern Yavne still preserves traces of the medieval fortification.",Yavne_Ibelin.jpg,https://en.wikipedia.org/wiki/Ibelin_(castle),https://he.wikipedia.org/wiki/%D7%99%D7%91%D7%A0%D7%94
yazur-azor,YAZUR,Yazur (Azor),Casellum de Planis; Case! des Plains; Casale/Casellum Balneorum; Casellum de Templo,major_castle,Israel,"Azor, Israel",County of Jaffa and Ascalon,32.0256,34.8075,exact,definite,yes,false,"The Crusader manor of Casellum de Planis stood at the modern town of Azor, just south-east of Tel Aviv and Jaffa. Its square central tower, with barrel-vaulted basement and a stair rising through the vault, formed the core of a small lordship of the Jaffa county.",Azor_fortress.jpg,https://en.wikipedia.org/wiki/Azor,https://he.wikipedia.org/wiki/%D7%9E%D7%A6%D7%95%D7%93%D7%AA_%D7%94%D7%9E%D7%99%D7%A9%D7%95%D7%A8
at-taiyiba-castle-of-st-elias,at-Taiyiba (Castle of St Elias),at-Taiyiba — Castle of St Elias,at-Taiyiba; 'Afra; Castle of St Elias; Saint Elyes; Effraon; castrum S. Helyae,major_castle,Israel,"Taibe, Galilee, Israel",Principality of Galilee,32.60444,35.44444,exact,definite,unknown,false,"A small Frankish castle perched above the modern village of Tuba Zangariyya / Taibe in eastern Galilee, known in the sources as the Castle of St Elias. It guarded the upland road between the Sea of Galilee and the Jezreel Valley. Part of its concentric walls, a barrel-vaulted gate passage, and remains of a square inner tower still stand among the village houses.",at_Taiyiba.jpg,"https://en.wikipedia.org/wiki/Taibe,_Galilee",https://he.wikipedia.org/wiki/%D7%98%D7%99%D7%99%D7%91%D7%94%20(%D7%91%D7%92%D7%9C%D7%99%D7%9C)
achziv-casal-imbert,az-ZIB / Achziv / Casal Imbert,Achziv (Casal Imbert),Akhziv; Casel Imbert; Casale Huberti de Paci; Casale Lamberti; Castellum Ziph; Qasale Imbert/Siph,urban,Israel,"Achziv, Israel",Royal Domain - Acre,33.048278,35.102652,approximate,uncertain,fragmentary,false,"Achziv, on the Mediterranean coast north of Acre, was the Crusader 'new town' of Casal Imbert, belonging to the royal domain of Acre. It was the site of a sharp Frankish defeat by Saladin's troops in 1187 and later briefly held by the Teutonic Knights. A tower once stood in the village; traces of Crusader occupation are mixed with much earlier Phoenician and later Ottoman remains, today inside Achziv National Park.",133080_achziv_park_PikiWiki_Israel.jpg,https://en.wikipedia.org/wiki/Achziv,https://he.wikipedia.org/wiki/%D7%90%D7%9B%D7%96%D7%99%D7%91
arsuf-apollonia,ARSUF,Arsuf (Apollonia),Arsur; Tel Arshaf,urban,Israel,"Arsuf, Israel",Lordship of Arsuf,32.1956,34.8068,exact,definite,unknown,true,"Arsuf — ancient Apollonia — was a small but strategically placed port on the sandstone cliffs north of modern Tel Aviv. The Crusaders took it in 1101, and in 1191 its coastal plain hosted the Battle of Arsuf, one of Richard the Lionheart's most famous victories, when the Crusader army broke Saladin's harassing cavalry in a disciplined charge. The town remained in Frankish hands until 1265, when the Mamluk sultan Baybars besieged and destroyed it. The concentric castle with its rounded towers, ha...",Arsuf.jpg,https://en.wikipedia.org/wiki/Arsuf,https://he.wikipedia.org/wiki/%D7%90%D7%A8%D7%A1%D7%95%D7%A3
ascalon,Ascalon,Ascalon,Asqalan; Ascalon; Ashkelon,urban,Israel,"Ashkelon, Israel",County of Jaffa and Ascalon,31.6692,34.5436,exact,definite,unknown,true,Ascalon was the last Fatimid foothold on the Palestinian coast and for fifty years after the First Crusade it remained a thorn in the kingdom's side — raiding parties from Ascalon reached the gates of Jerusalem. King Baldwin III finally captured it in 1153 after a long siege. Saladin retook it in 1187; Richard the Lionheart refortified it in 1192 with at least fourteen towers. Today a great horseshoe of Crusader and earlier walls survives in Tel Ashkelon National Park.,71-7100-100_-_תל_אשקלון_-_שרידי_כנסיית_סנטה_מריה_וירידיס_-_לריסה_סקלאר_גילר_(3).jpg,https://en.wikipedia.org/wiki/Ashkelon,https://he.wikipedia.org/wiki/%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F
caesarea-maritima,CAESAREA,Caesarea Maritima,"Qaisariya; Caesarea, Cesaire",urban,Israel,"Caesarea, Israel",Lordship of Caesarea,32.5001,34.8914,exact,definite,unknown,true,"Caesarea Maritima, the great Roman and Byzantine port, became one of the most heavily fortified Crusader cities after Baldwin I took it in 1101. The walls visible today — a near-complete circuit of curtain, towers and a dry moat — were built by King Louis IX of France in 1251-2 during his stay in the Holy Land. The city, its harbour, and its Frankish cathedral survived until the Mamluks systematically demolished the coastal defences in 1265. Caesarea is now one of Israel's most visited archaeolo...",96364_caesarea_national_park_PikiWiki_Israel.jpg,https://en.wikipedia.org/wiki/Caesarea_Maritima,https://he.wikipedia.org/wiki/%D7%A7%D7%99%D7%A1%D7%A8%D7%99%D7%94
jaffa,JAFFA,Jaffa,"Joppa, Yafa; Jaffa, Japhe, Joppe; Yafo",urban,Israel,"Jaffa, Israel",County of Jaffa and Ascalon,32.0544,34.7519,exact,definite,unknown,true,"Jaffa was the main port of entry for pilgrims and Crusaders throughout the twelfth and thirteenth centuries. It changed hands repeatedly: Richard the Lionheart defended it personally against Saladin in 1192, famously wading ashore at the head of a small force. Frederick II rebuilt its walls in 1228, and Louis IX strengthened them again in 1252. Little of the medieval city survives above ground, but its walled citadel hill and the faubourg below it shaped the topography of modern Old Jaffa.",jaffa crusader wall.png,https://en.wikipedia.org/wiki/Jaffa,https://he.wikipedia.org/wiki/%D7%99%D7%A4%D7%95
jerusalem-citadel-tower-of-david,Jerusalem Citadel (Tower of David),Jerusalem — Citadel (Tower of David),Jerusalem; Ierosolima; Yerushalayim; David's Tower; Tower of David; al-Quds ash-Sharif,urban,Israel,"Tower of David, Jerusalem",Royal Domain - Jerusalem,31.7767,35.2277,exact,definite,yes,false,"The Citadel next to the Jaffa Gate was the residence of the Crusader kings of Jerusalem from 1099 until 1187 and again briefly from 1229 to 1244. Built around a gigantic Herodian-period tower known today as the Tower of David, the Crusader castle straddled the city wall and commanded the western approach to Jerusalem. Much of its medieval masonry, gatehouses and moats is still visible inside the Tower of David Museum.",Jerusalem_Citadel_manuscript.jpg,https://en.wikipedia.org/wiki/Tower_of_David,https://he.wikipedia.org/wiki/%D7%9E%D7%92%D7%93%D7%9C_%D7%93%D7%95%D7%93
tancreds-tower,Tancred's Tower,Tancred's Tower,Qasr Jalud; Tower of Goliath,urban,Israel,"Old City, Jerusalem (NW corner of city wall)",Royal Domain - Jerusalem,31.781111,35.224444,approximate,definite,fragmentary,false,"A massive polygonal tower at the northwest corner of Jerusalem's walls, built originally on Fatimid foundations and stormed by Tancred of Antioch in the 1099 siege — the episode from which the Crusaders took the tower's new name. Under Frankish rule it served as the principal anchor of the northern defences of the royal city, linked to the Citadel and the Tower of David. The Ayyubids partly dismantled it after 1219; Mamluks and Ottomans rebuilt over the ruins. Today only foundations survive, vis...",Tancreds_Tower.jpg,https://en.wikipedia.org/wiki/Tancred%27s_Tower,https://he.wikipedia.org/wiki/%D7%9E%D7%92%D7%93%D7%9C_%D7%98%D7%A0%D7%A7%D7%A8%D7%93
tiberias,Tiberias,Tiberias,"Tabariya; Tabarie, Tyberias; Teverya",urban,Israel,"Tiberias, Israel",Principality of Galilee,32.7903,35.5315,exact,definite,unknown,false,"Tiberias was the capital of the Principality of Galilee and one of the great feudal seats of the Crusader kingdom. Count Raymond III of Tripoli held the city through his wife Eschiva, and it was the siege of Tiberias by Saladin in July 1187 that drew the Frankish army out to its destruction at the Horns of Hattin a few days later. Fragmentary remains of the medieval castle, city walls and a lakeside tower survive along the modern waterfront.",Gate_of_the_Crusader_Fortress_of_Tiberias_0838_(508238553).jpg,https://en.wikipedia.org/wiki/Tiberias,https://he.wikipedia.org/wiki/%D7%98%D7%91%D7%A8%D7%99%D7%94
aqua-bella,Aqua Bella,Aqua Bella,Kh. 'Iqbala; Ein Hemed; 'En Hemed,tower,Israel,"Ein Hemed, Israel",Royal Domain - Jerusalem,31.79615,35.125973,exact,probable,yes,false,"A beautifully preserved Crusader courtyard building in a spring-fed glade west of Jerusalem, now the heart of Ein Hemed National Park. It was most likely built as a Hospitaller estate and infirmary in the twelfth century, and its thick walls, arrow-slits, and vaulted halls made it easy to defend even though its primary function was agricultural. It is one of the best-surviving examples of a Crusader 'maison forte' (fortified manor) in the region.",Ein-Chemed-143- Aqua Bella.jpg,https://en.wikipedia.org/wiki/Ein_Hemed,https://he.wikipedia.org/wiki/%D7%A2%D7%99%D7%9F_%D7%97%D7%9E%D7%93
bait-itab,Bait 'Itab,Bait 'Itab,Bethaatap; Beitatap; Bethahatap; Bayt 'Ittab; Beit 'Attab,tower,Israel,"Bayt 'Ittab, Israel",Royal Domain - Jerusalem,31.7349,35.0535,exact,definite,yes,false,"A striking fortified hall-house on a ridge in the Judean hills west of Jerusalem, built in the twelfth century as a small Frankish manor. A slit machicolation and a draw-bar protected the ground-floor entrance while vaulted rooms and a central courtyard served the lord's household. The ruins still crown the hilltop beside the modern village of Nes Harim.",Bait Itab Crusader fortress.jpg,https://en.wikipedia.org/wiki/Bayt_Itab,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA_%D7%A2%D7%99%D7%98%D7%90%D7%91
bait-safafa,Bait Safafa,Bait Safafa,Bethafava; Bethsaphace,tower,Israel,"Beit Safafa, Jerusalem",Royal Domain - Jerusalem,31.7484,35.2087,exact,definite,unknown,false,"A massive twelfth-century tower once stood beside the old Jerusalem road at Beit Safafa, today a neighbourhood in southern Jerusalem. Its barrel-vaulted basement, cistern, internal stair, and upper floors housed a small Frankish garrison whose job was to keep the road to the capital safe. Only fragmentary remains survive.",BeitSafafaMay232023_04.jpg,https://en.wikipedia.org/wiki/Beit_Safafa,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA%20%D7%A6%D7%A4%D7%90%D7%A4%D7%90
baysan-beit-shean,BAISAN,Baysan (Beit She'an),"Se Cr. Bethsan, Bessan, Betsan; Bet She'an",tower,Israel,"Beit She'an, Israel",Lordship of Bethsan,32.5,35.5,exact,definite,unknown,false,"Beit She'an, one of the oldest continuously inhabited sites in the region, was a Frankish administrative centre in the twelfth century. A massive square tower some 17 metres across, built partly of reused Roman ashlar blocks, stood a few hundred metres from the great Roman theatre. It was incorporated into the later Ottoman 'Old Serail' and its Crusader core can still be traced in the old town.",Beyt-Shean-old-city-Crusader tower.jpg,https://en.wikipedia.org/wiki/Beit_She%27an,https://he.wikipedia.org/wiki/%D7%91%D7%99%D7%AA_%D7%A9%D7%90%D7%9F
